Nombre del Modelo,Marca,Año,Precio,Kilometraje,Fecha de Registro
Auto 1,Marca 4,1997,149596,50435,2024-02-24
Auto 2,Marca 1,2015,53355,73597,2024-03-05
Auto 3,Marca 8,2004,73335,132848,2024-09-11
Auto 4,Marca 3,1961,104516,33761,2024-07-29
Auto 5,Marca 9,2013,115181,48402,2024-02-01
Auto 6,Marca 8,1987,25631,97977,2024-12-10
Auto 7,Marca 1,1999,74771,81334,2024-02-08
Auto 8,Marca 7,1962,79110,149899,2024-02-11
Auto 9,Marca 2,1982,100485,89531,2024-04-21
Auto 10,Marca 9,1986,49948,109248,2024-04-30
Auto 11,Marca 2,1989,58455,55953,2024-06-12
Auto 12,Marca 1,1975,123948,126575,2024-12-02
Auto 13,Marca 10,1995,49944,138014,2024-11-13
Auto 14,Marca 7,1983,97628,139559,2024-04-13
Auto 15,Marca 2,1984,47153,83828,2024-11-11
Auto 16,Marca 9,1987,138643,48991,2024-01-14
Auto 17,Marca 2,1975,76045,68046,2024-12-26
Auto 18,Marca 1,2005,50195,65314,2024-06-10
Auto 19,Marca 6,2000,82955,109009,2024-11-09
Auto 20,Marca 6,1953,26377,33775,2024-12-01
Auto 21,Marca 8,2015,126587,100547,2024-06-01
Auto 22,Marca 3,1979,85667,26489,2024-06-27
Auto 23,Marca 6,1955,60745,92485,2024-09-21
Auto 24,Marca 8,1982,44265,130315,2024-10-12
Auto 25,Marca 6,1982,54000,66548,2024-02-07
Auto 26,Marca 2,1990,148018,23485,2024-02-22
Auto 27,Marca 1,1974,104034,64435,2024-11-27
Auto 28,Marca 7,1995,94099,116239,2024-11-27
Auto 29,Marca 2,1989,112101,45682,2024-10-19
Auto 30,Marca 2,2003,63979,111297,2024-03-09
Auto 31,Marca 10,1964,98325,100371,2024-04-15
Auto 32,Marca 4,2012,144056,31422,2024-07-15
Auto 33,Marca 5,1974,49414,56375,2024-12-22
Auto 34,Marca 7,2011,124714,61664,2024-06-19
Auto 35,Marca 9,2020,59478,82960,2024-03-18
Auto 36,Marca 9,1964,87811,92519,2024-09-22
Auto 37,Marca 3,1984,42736,81784,2024-11-07
Auto 38,Marca 6,1985,77942,45516,2024-12-30
Auto 39,Marca 4,1959,127115,93571,2024-06-30
Auto 40,Marca 3,1998,147475,54813,2024-02-10
Auto 41,Marca 9,1989,26041,66750,2024-02-04
Auto 42,Marca 8,2000,34304,48646,2024-06-10
Auto 43,Marca 10,1977,53221,68547,2024-06-21
Auto 44,Marca 1,1995,65104,57691,2024-04-15
Auto 45,Marca 10,1980,46501,23212,2024-08-04
Auto 46,Marca 10,2003,51604,21234,2024-12-23
Auto 47,Marca 4,1955,135021,50334,2024-04-11
Auto 48,Marca 3,2010,70425,36145,2024-07-29
Auto 49,Marca 3,1970,57162,126317,2024-02-12
Auto 50,Marca 10,1986,40204,106403,2024-09-25
Auto 51,Marca 3,2007,51011,117258,2024-03-23
Auto 52,Marca 6,2009,73602,53257,2024-09-14
Auto 53,Marca 7,1961,89991,105037,2024-11-01
