ID del Producto,Nombre,Categoria,Precio,Cantidad Vendida,Region del Pedido,Fecha del Pedido
1,Producto 1,No Category,1781 $,65.0,Asia,2024-07-19
2,Producto 2,No Category,4828 $,39.0,Norteamerica,2024-02-14
3,Producto 3,Hogar,4386 $,0.0,Sudamerica,2024-09-13
4,Producto 4,Hogar,3199 $,0.0,Europa,2024-05-27
5,Producto 5,Entretenimiento,1302 $,39.0,No Location,2024-04-06
6,Producto 6,Moda,3479 $,86.0,No Location,2024-12-30
7,Producto 7,Entretenimiento,117 $,45.0,Asia,2024-06-25
8,Producto 8,Electronica,3894 $,13.0,Norteamerica,2024-06-18
9,Producto 9,Electronica,1184 $,71.0,África,2024-09-27
10,Producto 10,Deportes,180 $,68.0,Asia,2024-12-08
11,Producto 11,Moda,3102 $,59.0,Europa,2024-12-09
12,Producto 12,Electronica,976 $,82.0,Asia,2024-11-17
13,Producto 13,Moda,1688 $,18.0,Sudamerica,2024-12-27
14,Producto 14,Deportes,592 $,58.0,Sudamerica,2024-02-19
15,Producto 15,Entretenimiento,1021 $,42.0,África,2024-01-05
16,Producto 16,Deportes,2344 $,22.0,África,2024-11-26
17,Producto 17,Hogar,1396 $,9.0,Asia,2024-09-09
18,Producto 18,Moda,1350 $,7.0,Sudamerica,2024-10-04
19,Producto 19,Hogar,4943 $,41.0,Norteamerica,2024-08-08
20,Producto 20,Entretenimiento,1199 $,25.0,África,2024-01-20
21,Producto 21,Deportes,2376 $,45.0,Europa,2024-12-09
22,Producto 22,Deportes,510 $,69.0,África,2024-03-09
23,Producto 23,Entretenimiento,2428 $,56.0,Asia,2024-06-11
24,Producto 24,Moda,2733 $,42.0,Europa,2024-12-29
25,Producto 25,Hogar,2003 $,90.0,África,2024-09-09
26,Producto 26,Electronica,1722 $,2.0,Asia,2024-10-28
27,Producto 27,Moda,4090 $,60.0,Sudamerica,2024-05-11
28,Producto 28,Electronica,928 $,37.0,Norteamerica,2024-02-06
29,Producto 29,Deportes,2479 $,79.0,Sudamerica,2024-01-04
30,Producto 30,Entretenimiento,3475 $,24.0,Norteamerica,2024-11-27
31,Producto 31,Entretenimiento,3417 $,71.0,África,2024-12-08
32,Producto 32,Electronica,684 $,18.0,África,2024-01-15
33,Producto 33,Deportes,895 $,96.0,Norteamerica,2024-10-20
34,Producto 34,Hogar,3652 $,29.0,Europa,2024-06-14
