ID del Sensor,Tipo Sensor,Valor Leido,Ubicacion,TimeStamp
1,No Type,62.0,Europa,2024-11-18
2,No Type,90.0,Europa,2024-05-27
3,No Type,29.0,Europa,2024-09-17
4,Humedad,0.0,Europa,2024-11-04
5,Temperatura,0.0,Oceanía,2024-07-29
6,Humedad,0.0,Europa,2024-01-13
7,Presencia,29.0,No Location,2024-10-20
8,Movimiento,53.0,No Location,2024-03-21
9,Temperatura,62.0,No Location,2024-11-24
10,No Type,0.0,África,2024-06-27
11,No Type,0.0,Europa,2024-01-23
12,No Type,0.0,Sudamerica,2024-12-13
13,Humedad,0.0,No Location,2024-05-02
14,Movimiento,0.0,No Location,2024-02-14
15,Humedad,0.0,No Location,2024-04-12
16,No Type,0.0,No Location,2024-10-08
17,No Type,0.0,No Location,2024-07-03
18,No Type,0.0,No Location,2024-06-12
19,Movimiento,79.0,Oceanía,2024-05-25
20,Presencia,79.0,Sudamerica,2024-06-22
21,Presencia,44.0,Asia,2024-06-14
22,Humedad,32.0,África,2024-12-12
23,Luz ,90.0,Asia,2024-02-29
24,Temperatura,61.0,Europa,2024-01-05
25,Movimiento,99.0,Oceanía,2024-01-29
26,Presencia,41.0,Sudamerica,2024-07-21
27,Temperatura,55.0,Europa,2024-11-17
28,Humedad,32.0,África,2024-03-06
29,Humedad,15.0,Asia,2024-01-06
30,Movimiento,40.0,África,2024-01-20
31,Temperatura,8.0,Sudamerica,2024-11-08
32,Humedad,37.0,África,2024-10-18
33,Humedad,58.0,Europa,2024-10-24
34,Presencia,75.0,África,2024-02-17
35,Movimiento,86.0,Europa,2024-07-29
36,Temperatura,87.0,Asia,2024-08-13
37,Movimiento,40.0,África,2024-04-18
38,Presencia,6.0,Asia,2024-09-24
39,Movimiento,4.0,Oceanía,2024-04-08
40,Luz ,80.0,Sudamerica,2024-01-04
41,Luz ,99.0,Oceanía,2024-02-04
42,Movimiento,83.0,Oceanía,2024-08-17
43,Movimiento,9.0,Europa,2024-05-31
44,Movimiento,13.0,Asia,2024-03-09
45,Movimiento,31.0,África,2024-10-12
46,Presencia,69.0,Sudamerica,2024-10-14
47,Humedad,75.0,África,2024-11-04
48,Movimiento,25.0,África,2024-08-12
49,Luz ,85.0,Sudamerica,2024-08-28
50,Temperatura,85.0,Norteamerica,2024-03-19
51,Presencia,74.0,Europa,2024-08-25
52,Temperatura,83.0,África,2024-01-02
53,Luz ,100.0,Norteamerica,2024-11-29
54,Temperatura,52.0,Asia,2024-11-01
55,Temperatura,89.0,África,2024-06-12
56,Presencia,85.0,Norteamerica,2024-12-31
57,Movimiento,42.0,Oceanía,2024-05-03
58,Presencia,92.0,Norteamerica,2024-05-15
59,Luz ,69.0,Europa,2024-10-08
60,Presencia,98.0,Europa,2024-11-07
61,Presencia,27.0,Oceanía,2024-12-20
62,Temperatura,5.0,Norteamerica,2024-11-16
63,Humedad,34.0,Oceanía,2024-03-20
64,Humedad,67.0,Oceanía,2024-04-11
65,Humedad,99.0,Asia,2024-12-11
66,Luz ,78.0,Asia,2024-11-21
67,Temperatura,19.0,Europa,2024-08-01
68,Temperatura,61.0,Europa,2024-10-18
69,Temperatura,78.0,Europa,2024-03-03
70,Humedad,14.0,Norteamerica,2024-03-08
71,Humedad,33.0,Europa,2024-11-15
72,Temperatura,54.0,Norteamerica,2024-01-24
73,Presencia,69.0,Norteamerica,2024-11-27
74,Temperatura,19.0,Asia,2024-12-28
75,Luz ,25.0,África,2024-11-25
76,Humedad,35.0,África,2024-08-10
77,Humedad,2.0,Europa,2024-10-09
78,Humedad,48.0,Norteamerica,2024-03-27
79,Humedad,44.0,África,2024-01-17
80,Luz ,84.0,Oceanía,2024-03-04
81,Temperatura,52.0,África,2024-02-02
82,Presencia,6.0,Sudamerica,2024-10-21
83,Movimiento,27.0,Oceanía,2024-11-11
84,Luz ,8.0,África,2024-01-17
85,Humedad,35.0,Sudamerica,2024-07-19
86,Temperatura,60.0,Europa,2024-05-12
87,Movimiento,85.0,Europa,2024-12-21
88,Presencia,39.0,África,2024-04-10
89,Humedad,98.0,Asia,2024-07-10
90,Humedad,91.0,Sudamerica,2024-10-23
91,Movimiento,38.0,Norteamerica,2024-11-16
92,Presencia,61.0,Europa,2024-09-03
93,Humedad,60.0,Norteamerica,2024-01-21
94,Humedad,91.0,Sudamerica,2024-09-13
95,Presencia,77.0,Norteamerica,2024-06-29
96,Presencia,51.0,Sudamerica,2024-08-09
97,Movimiento,84.0,Oceanía,2024-10-12
98,Humedad,23.0,Oceanía,2024-08-29
99,Temperatura,14.0,Europa,2024-08-31
100,Luz ,50.0,Asia,2024-10-31
101,Humedad,43.0,Sudamerica,2024-06-19
102,Movimiento,98.0,Sudamerica,2024-01-12
103,Luz ,3.0,Asia,2024-01-23
104,Temperatura,28.0,Asia,2024-06-20
105,Humedad,82.0,Sudamerica,2024-11-30
106,Movimiento,51.0,Oceanía,2024-02-27
107,Movimiento,56.0,Oceanía,2024-12-16
108,Humedad,98.0,Asia,2024-10-03
109,Movimiento,20.0,Norteamerica,2024-12-25
110,Movimiento,75.0,Oceanía,2024-10-18
111,Temperatura,81.0,Norteamerica,2024-04-22
112,Presencia,59.0,Europa,2024-11-02
113,Luz ,67.0,Asia,2024-05-22
114,Movimiento,13.0,Norteamerica,2024-05-01
115,Presencia,1.0,Asia,2024-02-24
116,Movimiento,40.0,África,2024-07-06
117,Presencia,31.0,Sudamerica,2024-11-16
118,Movimiento,41.0,Asia,2024-04-23
119,Temperatura,100.0,Sudamerica,2024-04-28
120,Movimiento,61.0,Asia,2024-01-26
121,Movimiento,16.0,Europa,2024-02-08
122,Temperatura,7.0,África,2024-09-03
123,Movimiento,69.0,Asia,2024-05-03
124,Humedad,45.0,Oceanía,2024-10-12
125,Luz ,34.0,África,2024-11-02
126,Movimiento,63.0,África,2024-05-13
127,Temperatura,63.0,Sudamerica,2024-01-07
128,Temperatura,57.0,Norteamerica,2024-10-29
129,Movimiento,23.0,Oceanía,2024-06-02
130,Luz ,21.0,Sudamerica,2024-07-12
131,Humedad,11.0,Europa,2024-11-01
132,Temperatura,22.0,África,2024-05-24
133,Temperatura,22.0,Asia,2024-12-28
134,Humedad,98.0,Europa,2024-02-06
135,Humedad,49.0,Europa,2024-03-04
136,Movimiento,58.0,Europa,2024-12-14
137,Presencia,26.0,Norteamerica,2024-08-14
138,Luz ,22.0,África,2024-12-31
139,Temperatura,75.0,Sudamerica,2024-08-06
140,Presencia,91.0,Sudamerica,2024-07-03
141,Movimiento,31.0,Sudamerica,2024-06-10
142,Movimiento,22.0,Sudamerica,2024-07-01
143,Luz ,54.0,África,2024-02-17
144,Movimiento,71.0,Asia,2024-11-16
145,Humedad,86.0,Norteamerica,2024-04-13
146,Humedad,36.0,África,2024-12-14
147,Presencia,95.0,Asia,2024-03-04
148,Movimiento,16.0,Sudamerica,2024-08-15
149,Presencia,95.0,Norteamerica,2024-04-08
150,Luz ,61.0,África,2024-02-28
151,Humedad,62.0,Asia,2024-05-07
152,Luz ,22.0,Oceanía,2024-11-25
153,Presencia,52.0,Europa,2024-10-13
154,Humedad,99.0,Oceanía,2024-02-28
155,Humedad,30.0,Norteamerica,2024-10-24
156,Luz ,29.0,Norteamerica,2024-11-27
157,Luz ,14.0,Oceanía,2024-02-05
158,Temperatura,79.0,Oceanía,2024-06-24
159,Presencia,50.0,Asia,2024-10-23
160,Humedad,16.0,Oceanía,2024-09-22
161,Presencia,27.0,Norteamerica,2024-05-09
162,Luz ,37.0,Norteamerica,2024-03-01
163,Luz ,73.0,África,2024-09-26
164,Temperatura,21.0,África,2024-03-21
165,Temperatura,27.0,Oceanía,2024-09-01
166,Presencia,21.0,Europa,2024-06-30
167,Luz ,54.0,Sudamerica,2024-07-22
168,Movimiento,8.0,Europa,2024-12-15
169,Humedad,73.0,Norteamerica,2024-03-09
170,Movimiento,95.0,Sudamerica,2024-03-03
171,Humedad,83.0,Norteamerica,2024-02-02
172,Humedad,83.0,Asia,2024-05-03
173,Movimiento,58.0,África,2024-04-27
